task_id,total_magnetization,volume
mp-1095491,0.02982675,244.63096471156783
mp-1095553,2.65e-06,153.69521127270409
mp-1095566,0.01096205,155.298919219804
mp-1095664,0.0123038,131.45058821219024
mp-1095673,0.026386025,139.20708601223666
mp-1096874,0.99975555,413.5377265409634
mp-1096877,0.2573149666666667,655.1132747140714
mp-1097024,0.087183,222.1587763177375
mp-1099605,0.6907945,455.98257807379173
mp-1099611,0.2476621,445.39962457705326
mp-1099653,27.999982975,1838.2773795753205
mp-1099665,15.249501775,1894.9318142608504
mp-1099676,0.0602792,496.4303363969491
mp-1099694,6.75059459375,1863.2408914435662
mp-1099708,31.499999625,1873.7367345950781
mp-1099745,28.999512425,1811.9239930546803
mp-1099763,0.6423959,498.20953119869785
mp-1099786,0.02428875,224.7279905289155
mp-1099798,30.50005035,1920.11551380525
mp-1099816,30.000000275,1903.269818626779
mp-1099827,24.8956868,444.9007165642463
mp-1099844,0.08556225,455.38957859208693
mp-1099847,28.495074775,1805.8975898679926
mp-1099862,35.26273165,2043.4651352806648
mp-1099886,1.5250574,253.16229551259042
mp-1099890,27.440389,450.47089591436907
mp-1099907,28.50000045,1759.7615366202626
mp-1099936,31.7746169,482.2528880647965
mp-1099990,13.25710045,1973.2004236611892
mp-1100009,29.49999995,1877.6463958079762
mp-1100595,1.248979,288.992984187742
mp-1100654,1.007224,290.19880633811096
mp-1100700,0.0124037,289.6585753456305
mp-1100740,1.8517567,291.91873834527985
mp-1101114,3.00000005,564.2433867148717
mp-1101240,0.0,445.3041057658744
mp-1101253,8.6117665,479.4657656187828
mp-1101280,2.9868212,245.64562944119044
mp-1101361,0.001054,246.05899283506076
mp-1101396,18.1589891,446.8462596574979
mp-1101526,0.0050755,575.644396886825
mp-1101566,11.0192309,266.7440910119266
mp-1101575,6.9999997,560.619077811368
mp-1101586,1.325e-06,697.6259337410395
mp-1101670,1.00232865,295.3800721906818
mp-1101785,6.375e-06,211.2264787799356
mp-1101797,4.3007741,149.75278939006168
mp-1101871,0.0829502,208.00563766358803
mp-1101983,1.067705675,153.7501315259263
mp-1102101,5.9075e-05,219.0198163260235
mp-1102105,1.03923505,171.0866476045413
mp-1102115,0.306732025,130.45770081638315
mp-1102310,0.02251765,184.76592059850907
mp-1102437,2.3678022,181.30431626728424
mp-1102468,0.28866410000000003,161.69532185579413
mp-1102473,1.1512047,176.68423855410225
mp-1102565,0.001807925,179.34729434008082
mp-1102616,1.23722765,139.64122535444577
mp-1102618,3.03771795,154.73110023677268
mp-1102660,2.304719275,131.6427184659071
mp-1102834,1.946707925,134.9394254505075
mp-1103148,6.395e-05,187.86647719411442
mp-1103160,0.00487025,165.69152123178134
mp-1103227,0.00022735,173.42320470718502
mp-1103303,0.8434747,273.7589869475226
mp-1103359,0.0029611,251.5282886023724
mp-1103581,0.13437385,142.16561506778046
mp-1103899,5.5661422,234.25922068818048
mp-1103983,2.1224314,177.2791653749211
mp-1104097,0.8200334,168.69342085776708
mp-1104244,6.0000044,206.19689545806523
mp-1105097,1.1158193,225.09661393375208
mp-1105102,0.08338075,276.1663072471335
mp-1105140,6.95092425,179.59520341802784
mp-1105151,6.0037403,596.5318817834684
mp-1105331,0.0115213,446.97811160652986
mp-1105426,6.4649232,149.84828038375187
mp-1105487,7.11075575,154.2525280835031
mp-1105622,3.000708,654.9342271290764
mp-1105630,0.7235815666666667,281.9842299391112
mp-1105652,0.0022364,234.56048941247062
mp-1105833,0.2797854,240.31596695219284
mp-1106010,0.07333585,289.66237824616144
mp-1106011,4.615e-05,448.4376479696487
mp-1106047,0.0480117,258.5011044442902
mp-1106079,0.0003168,301.59282845281024
mp-1106249,3.0019363,273.4464946905779
mp-1106274,6.8762106,192.60334677551495
mp-1120751,15.0018853,652.2600224299492
mp-1120788,2.9994772,178.8259368691953
mp-1120802,0.2397008,416.293021260178
mp-1121,0.0920255,24.06765436567306
mp-1147521,0.99519335,154.19890232137695
mp-1147648,3.0,113.38512258424136
mp-1147746,0.00648545,68.36266139950712
mp-1163930,8.00713435,895.9832061291007
mp-1172980,0.02494445,610.7797602860514
mp-1173226,0.14890215,520.4691496756946
mp-1173231,7.5208913,345.04943502792526
mp-1173241,22.9907047,1175.331426858762
mp-1173242,6.4184656,517.9070309482942
mp-1173253,3.71258965,344.9534109261872
mp-1173256,3.59587715,347.1382985252589
mp-1173881,1.0801909,104.75314083870093
mp-1173888,0.0999504,104.64614938317361
mp-1173902,8.0,75.24532540997238
mp-1173904,5.9997456,148.4589386877923
mp-1173919,7.765e-05,150.07213203220246
mp-1173929,0.0026958,146.64190401999753
mp-1173940,0.1314314,111.68295871880537
mp-1173950,1.1008043,113.79839795723278
mp-1173963,1.9738677,139.4488921898181
mp-1173970,1.06983245,171.79614547000963
mp-1173976,0.0305508,111.47691738571311
mp-1173984,2.9885899,178.05384209503217
mp-1173988,1.0033665,114.2576817711675
mp-1173994,0.210103,178.28104462003216
mp-1174000,0.0033163,139.1556935220989
mp-1174001,0.0076545,141.31964796633133
mp-1174003,0.1170627,138.81770884052813
mp-1174011,0.0129564,141.09796353855864
mp-1174022,7.00000005,178.48213512362176
mp-1174027,0.7920238,143.66963618911404
mp-1174032,10.0,141.76166858888175
mp-1174038,2.85e-05,139.0862611855118
mp-1174046,0.2032981,177.34463411177873
