cif_id,chgnet_total_magmom_muB,chgnet_site_magmoms_muB
mp-1023624,1.0095866322517395,"[0.0009129643440246582, 0.003221452236175537, 0.0009223222732543945, 0.003221452236175537, 0.0009223222732543945, 0.003221452236175537, 0.0009223222732543945, 0.0020633935928344727, 0.002063572406768799, 0.0020635128021240234, 0.002063453197479248, 0.0020635128021240234, 0.002063453197479248, 0.0023998618125915527, 0.0023999810218811035, 0.9790616035461426]"
mp-1187978,1.1549360752105713,"[0.017528772354125977, 1.1374073028564453]"
mp-1226007,1.62057825922966,"[1.5571359395980835, 0.06344231963157654]"
mp-1183785,3.719651758670807,"[1.650356411933899, 1.6503627300262451, 0.06982219219207764, 0.06982183456420898, 0.06982207298278809, 0.06982213258743286, 0.06982219219207764, 0.06982219219207764]"
mp-1183847,3.9567726254463196,"[1.8771048784255981, 1.8771052360534668, 0.03376041352748871, 0.03376030921936035, 0.03376048803329468, 0.03376030921936035, 0.033760398626327515, 0.033760592341423035]"
mp-865960,0.648312896490097,"[0.31864941120147705, 0.3186767101287842, 0.0018300414085388184, 0.0018317699432373047, 0.0018301010131835938, 0.0018309056758880615, 0.0018330514430999756, 0.0018309056758880615]"
mp-865733,0.7087327837944031,"[0.23830413818359375, 0.23840028047561646, 0.03867471218109131, 0.03866833448410034, 0.03867077827453613, 0.03867638111114502, 0.038667142391204834, 0.038671016693115234]"
mp-1103359,1.9057012498378754,"[0.4584856629371643, 0.45837080478668213, 0.4591495394706726, 0.4584941864013672, 0.008901059627532959, 0.008905380964279175, 0.008893251419067383, 0.008900970220565796, 0.008902490139007568, 0.008904695510864258, 0.00889277458190918, 0.008900433778762817]"
mp-2070,1.5039450228214264,"[0.36560705304145813, 0.36601805686950684, 0.36619240045547485, 0.3659130334854126, 0.0050265491008758545, 0.005026668310165405, 0.005026966333389282, 0.005026876926422119, 0.00502699613571167, 0.005026966333389282, 0.005026906728744507, 0.0050265491008758545]"
mp-22309,2.31557160615921,"[0.5607350468635559, 0.5618051290512085, 0.5607156753540039, 0.5594238042831421, 0.009119570255279541, 0.009110033512115479, 0.009105682373046875, 0.009110629558563232, 0.009119689464569092, 0.00911015272140503, 0.0091056227684021, 0.009110569953918457]"
mp-1002109,0.2962043881416321,"[0.049066126346588135, 0.24713826179504395]"
mp-1009133,4.1575117111206055,"[2.880235195159912, 1.2772765159606934]"
