meaning,abs_pearson
Li__mean__electron_affinity_norm,0.19854916701380662
Li__mean__atomic_number_norm,0.19854916701128753
Li__mean__atomic_mass_norm,0.19854916701128753
Li__mean__atomic_radius_norm,0.19854916701128753
Li__mean__OFM_component_0,0.19854916701128753
P__mean__atomic_mass_norm,0.19736329099040884
P__mean__atomic_radius_norm,0.19736329038851586
P__mean__electron_affinity_norm,0.19736329027540495
P__mean__OFM_component_4,0.1973632902754049
P__mean__OFM_component_1,0.1973632902754049
P__mean__magmom,0.19736329007330905
P__mean__atomic_number_norm,0.19736328988726418
rbf_bin35__std,0.1953523787494871
rbf_bin20__std,0.1933751514994274
rbf_bin29__std,0.19277366792929843
rbf_bin28__mean,0.19257289065076952
rbf_bin37__std,0.18491924510172225
global_mean__OFM_component_24,0.1841151532493182
rbf_bin34__std,0.18344975129766528
Sm__mean__magmom,0.18268527337100465
Sm__mean__atomic_mass_norm,0.18268527313479432
Sm__mean__atomic_radius_norm,0.1826852725552895
Sm__mean__atomic_number_norm,0.1826852725552895
Sm__mean__OFM_component_23,0.18268527255528944
Sm__mean__electron_affinity_norm,0.18268527255528944
Sm__mean__OFM_component_1,0.18268527255528944
O__std__atomic_number_norm,0.18263528475530144
rbf_bin17__std,0.1824201458299432
rbf_bin20__mean,0.18177314020166685
global_std__OFM_component_4,0.18072421649582218
global_mean__atomic_mass_norm,0.18059771054242232
rbf_bin34__mean,0.17974815393423127
rbf_bin21__mean,0.1789593927178761
rbf_bin28__std,0.1757147841586044
global_std__OFM_component_17,0.17421072832318585
P__count,0.1734642184297402
rbf_bin22__mean,0.17164538025959591
rbf_bin29__mean,0.16487986720351505
rbf_bin17__mean,0.16395827798959062
Li__count,0.1633490810701044
rbf_bin35__mean,0.16057366020933486
P__std__magmom,0.15782518134585824
rbf_bin19__mean,0.1574738252661872
global_std__OFM_component_24,0.15407529573375756
rbf_bin38__std,0.15335449510837518
rbf_bin19__std,0.1515068327179096
global_mean__OFM_component_17,0.15133785179569853
rbf_bin14__mean,0.15012811191008707
global_std__OFM_component_23,0.14915471171105665
rbf_bin14__std,0.14878901287338978
global_mean__OFM_component_4,0.14838509175042927
Ni__mean__atomic_radius_norm,0.14646549740866024
Ni__mean__OFM_component_15,0.1464654968163052
Ni__mean__OFM_component_1,0.1464654968163052
Ni__mean__magmom,0.14646549640338252
Ni__mean__atomic_mass_norm,0.1464654961844532
