feature_index,meaning,block_type,mean_abs_shap
64,Ag__std__OFM_component_25,species_block,0.0
65,Ag__std__OFM_component_26,species_block,0.0
66,Ag__std__OFM_component_27,species_block,0.0
67,Ag__std__OFM_component_28,species_block,0.0
68,Ag__std__OFM_component_29,species_block,0.0
69,Ag__std__OFM_component_30,species_block,0.0
70,Ag__std__OFM_component_31,species_block,0.0
71,Ag__std__atomic_mass_norm,species_block,0.0
72,Ag__std__atomic_number_norm,species_block,0.0
73,Ag__std__atomic_radius_norm,species_block,0.0
74,Ag__std__electron_affinity_norm,species_block,0.0
75,Al__count,species_block,2.3541156385536616e-06
76,Al__mean__magmom,species_block,1.4679925659628704e-06
77,Al__mean__OFM_component_0,species_block,0.0
78,Al__mean__OFM_component_1,species_block,2.0198184054894075e-06
79,Al__mean__OFM_component_2,species_block,2.149574327913511e-06
80,Al__mean__OFM_component_3,species_block,0.0
81,Al__mean__OFM_component_4,species_block,0.0
82,Al__mean__OFM_component_5,species_block,0.0
83,Al__mean__OFM_component_6,species_block,0.0
84,Al__mean__OFM_component_7,species_block,0.0
85,Al__mean__OFM_component_8,species_block,0.0
86,Al__mean__OFM_component_9,species_block,0.0
87,Al__mean__OFM_component_10,species_block,0.0
88,Al__mean__OFM_component_11,species_block,0.0
89,Al__mean__OFM_component_12,species_block,0.0
90,Al__mean__OFM_component_13,species_block,0.0
91,Al__mean__OFM_component_14,species_block,0.0
92,Al__mean__OFM_component_15,species_block,0.0
93,Al__mean__OFM_component_16,species_block,0.0
94,Al__mean__OFM_component_17,species_block,0.0
95,Al__mean__OFM_component_18,species_block,0.0
96,Al__mean__OFM_component_19,species_block,0.0
97,Al__mean__OFM_component_20,species_block,0.0
98,Al__mean__OFM_component_21,species_block,0.0
99,Al__mean__OFM_component_22,species_block,0.0
100,Al__mean__OFM_component_23,species_block,0.0
101,Al__mean__OFM_component_24,species_block,0.0
102,Al__mean__OFM_component_25,species_block,0.0
103,Al__mean__OFM_component_26,species_block,0.0
104,Al__mean__OFM_component_27,species_block,0.0
105,Al__mean__OFM_component_28,species_block,0.0
106,Al__mean__OFM_component_29,species_block,0.0
107,Al__mean__OFM_component_30,species_block,0.0
108,Al__mean__OFM_component_31,species_block,0.0
109,Al__mean__atomic_mass_norm,species_block,2.8982010518737303e-06
110,Al__mean__atomic_number_norm,species_block,2.1347408154808784e-06
111,Al__mean__atomic_radius_norm,species_block,2.089878997782603e-06
112,Al__mean__electron_affinity_norm,species_block,1.555534118863644e-06
113,Al__std__magmom,species_block,1.7774473538665328e-08
114,Al__std__OFM_component_0,species_block,0.0
115,Al__std__OFM_component_1,species_block,0.0
116,Al__std__OFM_component_2,species_block,0.0
117,Al__std__OFM_component_3,species_block,0.0
118,Al__std__OFM_component_4,species_block,0.0
119,Al__std__OFM_component_5,species_block,0.0
120,Al__std__OFM_component_6,species_block,0.0
121,Al__std__OFM_component_7,species_block,0.0
122,Al__std__OFM_component_8,species_block,0.0
123,Al__std__OFM_component_9,species_block,0.0
124,Al__std__OFM_component_10,species_block,0.0
125,Al__std__OFM_component_11,species_block,0.0
126,Al__std__OFM_component_12,species_block,0.0
127,Al__std__OFM_component_13,species_block,0.0
128,Al__std__OFM_component_14,species_block,0.0
129,Al__std__OFM_component_15,species_block,0.0
130,Al__std__OFM_component_16,species_block,0.0
131,Al__std__OFM_component_17,species_block,0.0
132,Al__std__OFM_component_18,species_block,0.0
133,Al__std__OFM_component_19,species_block,0.0
134,Al__std__OFM_component_20,species_block,0.0
135,Al__std__OFM_component_21,species_block,0.0
136,Al__std__OFM_component_22,species_block,0.0
137,Al__std__OFM_component_23,species_block,0.0
138,Al__std__OFM_component_24,species_block,0.0
139,Al__std__OFM_component_25,species_block,0.0
140,Al__std__OFM_component_26,species_block,0.0
141,Al__std__OFM_component_27,species_block,0.0
142,Al__std__OFM_component_28,species_block,0.0
143,Al__std__OFM_component_29,species_block,0.0
144,Al__std__OFM_component_30,species_block,0.0
145,Al__std__OFM_component_31,species_block,0.0
146,Al__std__atomic_mass_norm,species_block,0.0
147,Al__std__atomic_number_norm,species_block,0.0
148,Al__std__atomic_radius_norm,species_block,0.0
149,Al__std__electron_affinity_norm,species_block,0.0
150,As__count,species_block,1.2435389613101403e-06
151,As__mean__magmom,species_block,1.512373709320016e-06
152,As__mean__OFM_component_0,species_block,0.0
153,As__mean__OFM_component_1,species_block,3.740572177662349e-07
154,As__mean__OFM_component_2,species_block,0.0
155,As__mean__OFM_component_3,species_block,0.0
156,As__mean__OFM_component_4,species_block,5.793843204521351e-07
157,As__mean__OFM_component_5,species_block,0.0
158,As__mean__OFM_component_6,species_block,0.0
159,As__mean__OFM_component_7,species_block,0.0
160,As__mean__OFM_component_8,species_block,0.0
161,As__mean__OFM_component_9,species_block,0.0
162,As__mean__OFM_component_10,species_block,0.0
163,As__mean__OFM_component_11,species_block,0.0
164,As__mean__OFM_component_12,species_block,0.0
165,As__mean__OFM_component_13,species_block,0.0
166,As__mean__OFM_component_14,species_block,0.0
167,As__mean__OFM_component_15,species_block,0.0
168,As__mean__OFM_component_16,species_block,0.0
169,As__mean__OFM_component_17,species_block,4.647141131591689e-07
170,As__mean__OFM_component_18,species_block,0.0
171,As__mean__OFM_component_19,species_block,0.0
172,As__mean__OFM_component_20,species_block,0.0
173,As__mean__OFM_component_21,species_block,0.0
174,As__mean__OFM_component_22,species_block,0.0
175,As__mean__OFM_component_23,species_block,0.0
176,As__mean__OFM_component_24,species_block,0.0
177,As__mean__OFM_component_25,species_block,0.0
178,As__mean__OFM_component_26,species_block,0.0
179,As__mean__OFM_component_27,species_block,0.0
180,As__mean__OFM_component_28,species_block,0.0
181,As__mean__OFM_component_29,species_block,0.0
182,As__mean__OFM_component_30,species_block,0.0
183,As__mean__OFM_component_31,species_block,0.0
184,As__mean__atomic_mass_norm,species_block,1.6477267871413127e-07
185,As__mean__atomic_number_norm,species_block,4.084162785741618e-07
186,As__mean__atomic_radius_norm,species_block,1.2663591525422297e-07
187,As__mean__electron_affinity_norm,species_block,3.12273468000725e-07
188,As__std__magmom,species_block,3.234271683847115e-06
189,As__std__OFM_component_0,species_block,0.0
190,As__std__OFM_component_1,species_block,0.0
191,As__std__OFM_component_2,species_block,0.0
192,As__std__OFM_component_3,species_block,0.0
193,As__std__OFM_component_4,species_block,0.0
194,As__std__OFM_component_5,species_block,0.0
195,As__std__OFM_component_6,species_block,0.0
196,As__std__OFM_component_7,species_block,0.0
197,As__std__OFM_component_8,species_block,0.0
198,As__std__OFM_component_9,species_block,0.0
199,As__std__OFM_component_10,species_block,0.0
200,As__std__OFM_component_11,species_block,0.0
201,As__std__OFM_component_12,species_block,0.0
202,As__std__OFM_component_13,species_block,0.0
203,As__std__OFM_component_14,species_block,0.0
204,As__std__OFM_component_15,species_block,0.0
205,As__std__OFM_component_16,species_block,0.0
206,As__std__OFM_component_17,species_block,0.0
207,As__std__OFM_component_18,species_block,0.0
208,As__std__OFM_component_19,species_block,0.0
209,As__std__OFM_component_20,species_block,0.0
210,As__std__OFM_component_21,species_block,0.0
211,As__std__OFM_component_22,species_block,0.0
212,As__std__OFM_component_23,species_block,0.0
213,As__std__OFM_component_24,species_block,0.0
214,As__std__OFM_component_25,species_block,0.0
215,As__std__OFM_component_26,species_block,0.0
216,As__std__OFM_component_27,species_block,0.0
217,As__std__OFM_component_28,species_block,0.0
218,As__std__OFM_component_29,species_block,0.0
219,As__std__OFM_component_30,species_block,0.0
220,As__std__OFM_component_31,species_block,0.0
221,As__std__atomic_mass_norm,species_block,0.0
222,As__std__atomic_number_norm,species_block,0.0
223,As__std__atomic_radius_norm,species_block,0.0
224,As__std__electron_affinity_norm,species_block,0.0
225,Au__count,species_block,0.0
226,Au__mean__magmom,species_block,0.0
227,Au__mean__OFM_component_0,species_block,0.0
228,Au__mean__OFM_component_1,species_block,0.0
229,Au__mean__OFM_component_2,species_block,0.0
230,Au__mean__OFM_component_3,species_block,0.0
231,Au__mean__OFM_component_4,species_block,0.0
232,Au__mean__OFM_component_5,species_block,0.0
233,Au__mean__OFM_component_6,species_block,0.0
234,Au__mean__OFM_component_7,species_block,0.0
235,Au__mean__OFM_component_8,species_block,0.0
236,Au__mean__OFM_component_9,species_block,0.0
237,Au__mean__OFM_component_10,species_block,0.0
238,Au__mean__OFM_component_11,species_block,0.0
239,Au__mean__OFM_component_12,species_block,0.0
240,Au__mean__OFM_component_13,species_block,0.0
241,Au__mean__OFM_component_14,species_block,0.0
242,Au__mean__OFM_component_15,species_block,0.0
243,Au__mean__OFM_component_16,species_block,0.0
244,Au__mean__OFM_component_17,species_block,0.0
245,Au__mean__OFM_component_18,species_block,0.0
246,Au__mean__OFM_component_19,species_block,0.0
247,Au__mean__OFM_component_20,species_block,0.0
248,Au__mean__OFM_component_21,species_block,0.0
249,Au__mean__OFM_component_22,species_block,0.0
250,Au__mean__OFM_component_23,species_block,0.0
251,Au__mean__OFM_component_24,species_block,0.0
252,Au__mean__OFM_component_25,species_block,0.0
253,Au__mean__OFM_component_26,species_block,0.0
254,Au__mean__OFM_component_27,species_block,0.0
255,Au__mean__OFM_component_28,species_block,0.0
256,Au__mean__OFM_component_29,species_block,0.0
257,Au__mean__OFM_component_30,species_block,0.0
258,Au__mean__OFM_component_31,species_block,0.0
259,Au__mean__atomic_mass_norm,species_block,0.0
260,Au__mean__atomic_number_norm,species_block,0.0
261,Au__mean__atomic_radius_norm,species_block,0.0
262,Au__mean__electron_affinity_norm,species_block,0.0
263,Au__std__magmom,species_block,0.0
264,Au__std__OFM_component_0,species_block,0.0
265,Au__std__OFM_component_1,species_block,0.0
266,Au__std__OFM_component_2,species_block,0.0
267,Au__std__OFM_component_3,species_block,0.0
268,Au__std__OFM_component_4,species_block,0.0
269,Au__std__OFM_component_5,species_block,0.0
270,Au__std__OFM_component_6,species_block,0.0
271,Au__std__OFM_component_7,species_block,0.0
272,Au__std__OFM_component_8,species_block,0.0
273,Au__std__OFM_component_9,species_block,0.0
274,Au__std__OFM_component_10,species_block,0.0
275,Au__std__OFM_component_11,species_block,0.0
276,Au__std__OFM_component_12,species_block,0.0
277,Au__std__OFM_component_13,species_block,0.0
278,Au__std__OFM_component_14,species_block,0.0
279,Au__std__OFM_component_15,species_block,0.0
280,Au__std__OFM_component_16,species_block,0.0
281,Au__std__OFM_component_17,species_block,0.0
282,Au__std__OFM_component_18,species_block,0.0
283,Au__std__OFM_component_19,species_block,0.0
284,Au__std__OFM_component_20,species_block,0.0
285,Au__std__OFM_component_21,species_block,0.0
286,Au__std__OFM_component_22,species_block,0.0
287,Au__std__OFM_component_23,species_block,0.0
288,Au__std__OFM_component_24,species_block,0.0
289,Au__std__OFM_component_25,species_block,0.0
290,Au__std__OFM_component_26,species_block,0.0
291,Au__std__OFM_component_27,species_block,0.0
292,Au__std__OFM_component_28,species_block,0.0
293,Au__std__OFM_component_29,species_block,0.0
294,Au__std__OFM_component_30,species_block,0.0
295,Au__std__OFM_component_31,species_block,0.0
296,Au__std__atomic_mass_norm,species_block,0.0
297,Au__std__atomic_number_norm,species_block,0.0
298,Au__std__atomic_radius_norm,species_block,0.0
299,Au__std__electron_affinity_norm,species_block,0.0
300,B__count,species_block,4.261562086846881e-06
301,B__mean__magmom,species_block,1.926453220455776e-06
302,B__mean__OFM_component_0,species_block,0.0
303,B__mean__OFM_component_1,species_block,3.008694519765703e-06
304,B__mean__OFM_component_2,species_block,6.831392758661181e-07
305,B__mean__OFM_component_3,species_block,0.0
306,B__mean__OFM_component_4,species_block,0.0
307,B__mean__OFM_component_5,species_block,0.0
308,B__mean__OFM_component_6,species_block,0.0
309,B__mean__OFM_component_7,species_block,0.0
310,B__mean__OFM_component_8,species_block,0.0
311,B__mean__OFM_component_9,species_block,0.0
312,B__mean__OFM_component_10,species_block,0.0
313,B__mean__OFM_component_11,species_block,0.0
314,B__mean__OFM_component_12,species_block,0.0
315,B__mean__OFM_component_13,species_block,0.0
316,B__mean__OFM_component_14,species_block,0.0
317,B__mean__OFM_component_15,species_block,0.0
318,B__mean__OFM_component_16,species_block,0.0
319,B__mean__OFM_component_17,species_block,0.0
320,B__mean__OFM_component_18,species_block,0.0
321,B__mean__OFM_component_19,species_block,0.0
322,B__mean__OFM_component_20,species_block,0.0
323,B__mean__OFM_component_21,species_block,0.0
324,B__mean__OFM_component_22,species_block,0.0
325,B__mean__OFM_component_23,species_block,0.0
326,B__mean__OFM_component_24,species_block,0.0
327,B__mean__OFM_component_25,species_block,0.0
328,B__mean__OFM_component_26,species_block,0.0
329,B__mean__OFM_component_27,species_block,0.0
330,B__mean__OFM_component_28,species_block,0.0
331,B__mean__OFM_component_29,species_block,0.0
332,B__mean__OFM_component_30,species_block,0.0
333,B__mean__OFM_component_31,species_block,0.0
334,B__mean__atomic_mass_norm,species_block,7.349260129124209e-07
335,B__mean__atomic_number_norm,species_block,1.656847678574982e-06
336,B__mean__atomic_radius_norm,species_block,9.789076317621784e-07
337,B__mean__electron_affinity_norm,species_block,3.1430176782119884e-06
338,B__std__magmom,species_block,4.6689642439083915e-08
339,B__std__OFM_component_0,species_block,0.0
340,B__std__OFM_component_1,species_block,0.0
341,B__std__OFM_component_2,species_block,0.0
342,B__std__OFM_component_3,species_block,0.0
343,B__std__OFM_component_4,species_block,0.0
344,B__std__OFM_component_5,species_block,0.0
345,B__std__OFM_component_6,species_block,0.0
346,B__std__OFM_component_7,species_block,0.0
347,B__std__OFM_component_8,species_block,0.0
348,B__std__OFM_component_9,species_block,0.0
349,B__std__OFM_component_10,species_block,0.0
350,B__std__OFM_component_11,species_block,0.0
351,B__std__OFM_component_12,species_block,0.0
352,B__std__OFM_component_13,species_block,0.0
353,B__std__OFM_component_14,species_block,0.0
354,B__std__OFM_component_15,species_block,0.0
355,B__std__OFM_component_16,species_block,0.0
356,B__std__OFM_component_17,species_block,0.0
357,B__std__OFM_component_18,species_block,0.0
358,B__std__OFM_component_19,species_block,0.0
359,B__std__OFM_component_20,species_block,0.0
360,B__std__OFM_component_21,species_block,0.0
361,B__std__OFM_component_22,species_block,0.0
362,B__std__OFM_component_23,species_block,0.0
363,B__std__OFM_component_24,species_block,0.0
364,B__std__OFM_component_25,species_block,0.0
365,B__std__OFM_component_26,species_block,0.0
366,B__std__OFM_component_27,species_block,0.0
367,B__std__OFM_component_28,species_block,0.0
368,B__std__OFM_component_29,species_block,0.0
369,B__std__OFM_component_30,species_block,0.0
370,B__std__OFM_component_31,species_block,0.0
371,B__std__atomic_mass_norm,species_block,0.0
372,B__std__atomic_number_norm,species_block,0.0
373,B__std__atomic_radius_norm,species_block,0.0
374,B__std__electron_affinity_norm,species_block,0.0
375,Ba__count,species_block,3.3965087512744743e-06
376,Ba__mean__magmom,species_block,0.0
377,Ba__mean__OFM_component_0,species_block,0.0
378,Ba__mean__OFM_component_1,species_block,1.0086362938110554e-05
379,Ba__mean__OFM_component_2,species_block,0.0
380,Ba__mean__OFM_component_3,species_block,0.0
381,Ba__mean__OFM_component_4,species_block,0.0
382,Ba__mean__OFM_component_5,species_block,0.0
383,Ba__mean__OFM_component_6,species_block,0.0
384,Ba__mean__OFM_component_7,species_block,0.0
385,Ba__mean__OFM_component_8,species_block,0.0
386,Ba__mean__OFM_component_9,species_block,0.0
387,Ba__mean__OFM_component_10,species_block,0.0
388,Ba__mean__OFM_component_11,species_block,0.0
389,Ba__mean__OFM_component_12,species_block,0.0
390,Ba__mean__OFM_component_13,species_block,0.0
391,Ba__mean__OFM_component_14,species_block,0.0
392,Ba__mean__OFM_component_15,species_block,0.0
393,Ba__mean__OFM_component_16,species_block,0.0
394,Ba__mean__OFM_component_17,species_block,0.0
395,Ba__mean__OFM_component_18,species_block,0.0
396,Ba__mean__OFM_component_19,species_block,0.0
397,Ba__mean__OFM_component_20,species_block,0.0
398,Ba__mean__OFM_component_21,species_block,0.0
399,Ba__mean__OFM_component_22,species_block,0.0
400,Ba__mean__OFM_component_23,species_block,0.0
401,Ba__mean__OFM_component_24,species_block,0.0
402,Ba__mean__OFM_component_25,species_block,0.0
403,Ba__mean__OFM_component_26,species_block,0.0
404,Ba__mean__OFM_component_27,species_block,0.0
405,Ba__mean__OFM_component_28,species_block,0.0
406,Ba__mean__OFM_component_29,species_block,0.0
407,Ba__mean__OFM_component_30,species_block,0.0
408,Ba__mean__OFM_component_31,species_block,0.0
409,Ba__mean__atomic_mass_norm,species_block,5.8295103972461e-06
410,Ba__mean__atomic_number_norm,species_block,8.333224642433276e-06
411,Ba__mean__atomic_radius_norm,species_block,1.2310747045170655e-05
412,Ba__mean__electron_affinity_norm,species_block,3.0650095559880736e-06
413,Ba__std__magmom,species_block,0.0
414,Ba__std__OFM_component_0,species_block,0.0
415,Ba__std__OFM_component_1,species_block,0.0
416,Ba__std__OFM_component_2,species_block,0.0
417,Ba__std__OFM_component_3,species_block,0.0
418,Ba__std__OFM_component_4,species_block,0.0
419,Ba__std__OFM_component_5,species_block,0.0
420,Ba__std__OFM_component_6,species_block,0.0
421,Ba__std__OFM_component_7,species_block,0.0
422,Ba__std__OFM_component_8,species_block,0.0
423,Ba__std__OFM_component_9,species_block,0.0
424,Ba__std__OFM_component_10,species_block,0.0
425,Ba__std__OFM_component_11,species_block,0.0
426,Ba__std__OFM_component_12,species_block,0.0
427,Ba__std__OFM_component_13,species_block,0.0
428,Ba__std__OFM_component_14,species_block,0.0
429,Ba__std__OFM_component_15,species_block,0.0
430,Ba__std__OFM_component_16,species_block,0.0
431,Ba__std__OFM_component_17,species_block,0.0
432,Ba__std__OFM_component_18,species_block,0.0
433,Ba__std__OFM_component_19,species_block,0.0
434,Ba__std__OFM_component_20,species_block,0.0
435,Ba__std__OFM_component_21,species_block,0.0
436,Ba__std__OFM_component_22,species_block,0.0
437,Ba__std__OFM_component_23,species_block,0.0
438,Ba__std__OFM_component_24,species_block,0.0
439,Ba__std__OFM_component_25,species_block,0.0
440,Ba__std__OFM_component_26,species_block,0.0
441,Ba__std__OFM_component_27,species_block,0.0
442,Ba__std__OFM_component_28,species_block,0.0
443,Ba__std__OFM_component_29,species_block,0.0
444,Ba__std__OFM_component_30,species_block,0.0
445,Ba__std__OFM_component_31,species_block,0.0
446,Ba__std__atomic_mass_norm,species_block,0.0
447,Ba__std__atomic_number_norm,species_block,0.0
448,Ba__std__atomic_radius_norm,species_block,0.0
449,Ba__std__electron_affinity_norm,species_block,0.0
450,Be__count,species_block,5.473567330227524e-10
451,Be__mean__magmom,species_block,0.0
452,Be__mean__OFM_component_0,species_block,0.0
453,Be__mean__OFM_component_1,species_block,1.3814795943289936e-09
454,Be__mean__OFM_component_2,species_block,0.0
455,Be__mean__OFM_component_3,species_block,0.0
456,Be__mean__OFM_component_4,species_block,0.0
457,Be__mean__OFM_component_5,species_block,0.0
458,Be__mean__OFM_component_6,species_block,0.0
459,Be__mean__OFM_component_7,species_block,0.0
460,Be__mean__OFM_component_8,species_block,0.0
461,Be__mean__OFM_component_9,species_block,0.0
462,Be__mean__OFM_component_10,species_block,0.0
463,Be__mean__OFM_component_11,species_block,0.0
464,Be__mean__OFM_component_12,species_block,0.0
465,Be__mean__OFM_component_13,species_block,0.0
466,Be__mean__OFM_component_14,species_block,0.0
467,Be__mean__OFM_component_15,species_block,0.0
468,Be__mean__OFM_component_16,species_block,0.0
469,Be__mean__OFM_component_17,species_block,0.0
470,Be__mean__OFM_component_18,species_block,0.0
471,Be__mean__OFM_component_19,species_block,0.0
472,Be__mean__OFM_component_20,species_block,0.0
473,Be__mean__OFM_component_21,species_block,0.0
474,Be__mean__OFM_component_22,species_block,0.0
475,Be__mean__OFM_component_23,species_block,0.0
476,Be__mean__OFM_component_24,species_block,0.0
477,Be__mean__OFM_component_25,species_block,0.0
478,Be__mean__OFM_component_26,species_block,0.0
479,Be__mean__OFM_component_27,species_block,0.0
480,Be__mean__OFM_component_28,species_block,0.0
481,Be__mean__OFM_component_29,species_block,0.0
482,Be__mean__OFM_component_30,species_block,0.0
483,Be__mean__OFM_component_31,species_block,0.0
484,Be__mean__atomic_mass_norm,species_block,6.47296203624137e-10
485,Be__mean__atomic_number_norm,species_block,9.62178049803697e-10
486,Be__mean__atomic_radius_norm,species_block,8.452017254967359e-12
487,Be__mean__electron_affinity_norm,species_block,5.981462800264126e-10
488,Be__std__magmom,species_block,0.0
489,Be__std__OFM_component_0,species_block,0.0
490,Be__std__OFM_component_1,species_block,0.0
491,Be__std__OFM_component_2,species_block,0.0
492,Be__std__OFM_component_3,species_block,0.0
493,Be__std__OFM_component_4,species_block,0.0
494,Be__std__OFM_component_5,species_block,0.0
495,Be__std__OFM_component_6,species_block,0.0
496,Be__std__OFM_component_7,species_block,0.0
497,Be__std__OFM_component_8,species_block,0.0
498,Be__std__OFM_component_9,species_block,0.0
499,Be__std__OFM_component_10,species_block,0.0
500,Be__std__OFM_component_11,species_block,0.0
501,Be__std__OFM_component_12,species_block,0.0
502,Be__std__OFM_component_13,species_block,0.0
503,Be__std__OFM_component_14,species_block,0.0
504,Be__std__OFM_component_15,species_block,0.0
505,Be__std__OFM_component_16,species_block,0.0
506,Be__std__OFM_component_17,species_block,0.0
507,Be__std__OFM_component_18,species_block,0.0
508,Be__std__OFM_component_19,species_block,0.0
509,Be__std__OFM_component_20,species_block,0.0
510,Be__std__OFM_component_21,species_block,0.0
511,Be__std__OFM_component_22,species_block,0.0
512,Be__std__OFM_component_23,species_block,0.0
513,Be__std__OFM_component_24,species_block,0.0
514,Be__std__OFM_component_25,species_block,0.0
515,Be__std__OFM_component_26,species_block,0.0
516,Be__std__OFM_component_27,species_block,0.0
517,Be__std__OFM_component_28,species_block,0.0
518,Be__std__OFM_component_29,species_block,0.0
519,Be__std__OFM_component_30,species_block,0.0
520,Be__std__OFM_component_31,species_block,0.0
521,Be__std__atomic_mass_norm,species_block,0.0
522,Be__std__atomic_number_norm,species_block,0.0
523,Be__std__atomic_radius_norm,species_block,0.0
524,Be__std__electron_affinity_norm,species_block,0.0
525,Bi__count,species_block,1.6253335502369737e-10
526,Bi__mean__magmom,species_block,2.470941826970829e-10
527,Bi__mean__OFM_component_0,species_block,0.0
528,Bi__mean__OFM_component_1,species_block,1.472133715196833e-10
529,Bi__mean__OFM_component_2,species_block,0.0
530,Bi__mean__OFM_component_3,species_block,0.0
531,Bi__mean__OFM_component_4,species_block,1.031500403314567e-11
532,Bi__mean__OFM_component_5,species_block,0.0
533,Bi__mean__OFM_component_6,species_block,0.0
534,Bi__mean__OFM_component_7,species_block,0.0
535,Bi__mean__OFM_component_8,species_block,0.0
536,Bi__mean__OFM_component_9,species_block,0.0
537,Bi__mean__OFM_component_10,species_block,0.0
538,Bi__mean__OFM_component_11,species_block,0.0
539,Bi__mean__OFM_component_12,species_block,0.0
540,Bi__mean__OFM_component_13,species_block,0.0
541,Bi__mean__OFM_component_14,species_block,0.0
542,Bi__mean__OFM_component_15,species_block,0.0
543,Bi__mean__OFM_component_16,species_block,0.0
544,Bi__mean__OFM_component_17,species_block,3.333305492958516e-10
545,Bi__mean__OFM_component_18,species_block,0.0
546,Bi__mean__OFM_component_19,species_block,0.0
547,Bi__mean__OFM_component_20,species_block,0.0
548,Bi__mean__OFM_component_21,species_block,0.0
549,Bi__mean__OFM_component_22,species_block,0.0
550,Bi__mean__OFM_component_23,species_block,0.0
551,Bi__mean__OFM_component_24,species_block,0.0
552,Bi__mean__OFM_component_25,species_block,0.0
553,Bi__mean__OFM_component_26,species_block,0.0
554,Bi__mean__OFM_component_27,species_block,0.0
555,Bi__mean__OFM_component_28,species_block,0.0
556,Bi__mean__OFM_component_29,species_block,0.0
557,Bi__mean__OFM_component_30,species_block,0.0
558,Bi__mean__OFM_component_31,species_block,1.027309622259054e-11
559,Bi__mean__atomic_mass_norm,species_block,6.127917356479885e-10
560,Bi__mean__atomic_number_norm,species_block,2.1204622683512753e-10
561,Bi__mean__atomic_radius_norm,species_block,2.4897992432215687e-11
562,Bi__mean__electron_affinity_norm,species_block,2.605391529755252e-09
563,Bi__std__magmom,species_block,0.0
564,Bi__std__OFM_component_0,species_block,0.0
565,Bi__std__OFM_component_1,species_block,0.0
566,Bi__std__OFM_component_2,species_block,0.0
567,Bi__std__OFM_component_3,species_block,0.0
568,Bi__std__OFM_component_4,species_block,0.0
569,Bi__std__OFM_component_5,species_block,0.0
570,Bi__std__OFM_component_6,species_block,0.0
571,Bi__std__OFM_component_7,species_block,0.0
572,Bi__std__OFM_component_8,species_block,0.0
573,Bi__std__OFM_component_9,species_block,0.0
